CSA,indicator,indicator_category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2006 - 2010
Southwest Baltimore,vacantXX,Housing and Community Development,,13.979002005426446,18.44683111058657,19.93386868209731,20.56980730582811,23.213216808332334,23.109549200193893,22.41212121212121,22.89084125646889,23.953911461491813,25.19713696469732,
The Waverlies,vacantXX,Housing and Community Development,,4.134650567142335,4.5404613694617355,4.9501292944218696,3.7064492216456637,3.7064492216456637,3.7932316846411305,4.291845493562231,3.1804733727810652,3.1934645376903084,3.4546805349182765,
Upton/Druid Heights*,vacantXX,Housing and Community Development,,18.57467778620167,22.68714011516315,21.999270339292227,21.49463559008509,25.069197311190194,31.961471103327494,35.16333938294011,33.92857142857143,35.867091488393264,35.47498852684718,
Washington Village,vacantXX,Housing and Community Development,,9.031262060980316,12.379110251450678,12.431842966194111,12.30376049653158,12.577696526508229,12.509170946441673,9.051254089422029,10.679611650485436,10.9375,8.720930232558139,
Westport/Mt. Winans/Lakeland,vacantXX,Housing and Community Development,,4.458000938526514,5.393996247654784,5.500705218617771,5.921052631578947,5.508474576271186,7.112576542628355,8.152686145146088,8.169014084507042,0.0,8.061509785647717,
Baltimore City,vacantXX,Housing and Community Development,,5.33226604429571,6.507910460727627,6.862792520001161,6.795839794405074,7.310879573540102,7.777033130335965,7.760102555137954,7.9587485313955,7.912505071189846,7.94255061429313,
Allendale/Irvington/S. Hilton,vioXX,Housing and Community Development,,5.65,2.01,2.77,2.79,,0.3506311360448808,3.3472803347280333,2.8457495015406926,5.083527932459134,4.974856321839081,
Beechfield/Ten Hills/West Hills,vioXX,Housing and Community Development,,3.3000000000000003,0.79,0.8500000000000001,1.24,,0.23249055507120026,1.9906687402799377,1.7507418397626113,3.550469483568075,1.9960640989597975,
Belair-Edison,vioXX,Housing and Community Development,,4.3,2.65,1.73,0.67,,0.26500389711613404,2.431241452666768,2.196603832372644,2.8580501746586218,2.2239872915011913,
Brooklyn/Curtis Bay/Hawkins Point,vioXX,Housing and Community Development,,3.4099999999999997,3.2099999999999995,4.48,3.39,,0.6423491626519844,3.395311236863379,2.7582982702197287,3.451492537313433,3.7356992762082655,
Canton,vioXX,Housing and Community Development,,3.03,0.55,0.83,0.86,,0.0831255195344971,0.7807271916127593,0.7471679922872981,0.7966143888473985,0.598056316969848,
Cedonia/Frankford,vioXX,Housing and Community Development,,2.19,1.6,1.27,1.49,,0.18912529550827423,1.5812097021799203,1.2678040381906401,1.4299332697807436,1.6047028916428345,
Cherry Hill,vioXX,Housing and Community Development,,1.8900000000000001,1.19,2.46,0.9000000000000001,,0.11737089201877934,2.819548872180451,2.026342451874367,2.834008097165992,2.935222672064777,
Chinquapin Park/Belvedere,vioXX,Housing and Community Development,,1.6500000000000001,1.76,2.3,1.11,,0.07186489399928135,0.9715725080964376,1.0374212671359764,1.4930944382232176,2.338530066815145,
Claremont/Armistead,vioXX,Housing and Community Development,,4.5,2.52,2.16,2.35,,0.8849557522123894,2.6912181303116145,1.881331403762663,2.1551724137931036,3.310344827586207,
Clifton-Berea,vioXX,Housing and Community Development,,6.47,3.82,2.01,3.53,,1.6502314348963574,10.602798708288482,6.009183469754442,3.165698256862352,11.331800125444282,
Cross-Country/Cheswolde,vioXX,Housing and Community Development,,4.17,0.83,0.67,0.36,,0.16172506738544476,0.2599090318388564,0.5833029529711994,0.5923344947735192,0.41180507892930684,
Dickeyville/Franklintown,vioXX,Housing and Community Development,,2.51,0.62,0.42,0.84,,0.0,1.3986013986013985,1.2987012987012987,2.8213166144200628,4.504504504504505,
Dorchester/Ashburton,vioXX,Housing and Community Development,,11.54,4.23,5.09,3.38,,0.4743303571428571,4.231752343084351,2.2530329289428077,3.35842501447597,2.5138848289973694,
Downtown/Seton Hill,vioXX,Housing and Community Development,,9.96,6.04,3.27,6.04,,2.857142857142857,0.7447864945382324,5.56390977443609,4.619970193740686,7.164179104477612,
Edmondson Village,vioXX,Housing and Community Development,,6.41,2.3,3.47,4.47,,0.26533996683250416,3.2117765138842422,2.677651905252317,6.964474147027788,3.8339781920506506,
Fells Point,vioXX,Housing and Community Development,,9.4,2.18,2.79,3.94,,0.06325110689437065,0.6753812636165577,0.9542943244600702,2.566000493461633,2.0453425332676196,
Forest Park/Walbrook,vioXX,Housing and Community Development,,15.67,5.52,5.34,5.52,,0.9497010200492437,6.981317600786626,4.517025712300208,4.847645429362881,5.064169268123483,
Glen-Falstaff,vioXX,Housing and Community Development,,5.15,2.37,1.39,1.11,,0.3991403131716303,0.6386861313868614,1.2980269989615785,2.0737947751144628,1.0566242210782986,
Greater Charles Village/Barclay,vioXX,Housing and Community Development,,13.11,6.4399999999999995,4.08,4.45,,3.5450061652281137,3.54362965997542,4.250495891187305,3.3783783783783785,3.5918367346938775,
Greater Govans,vioXX,Housing and Community Development,,5.34,4.48,2.43,2.21,,0.3357438016528926,3.2950574138791815,1.9899177500663305,2.4174053182917,3.1720430107526885,
Greater Mondawmin,vioXX,Housing and Community Development,,6.83,4.17,4.1,3.4300000000000006,,0.8162116521249648,7.365145228215768,3.8593481989708405,3.7252619324796274,4.856062808956092,
Greater Roland Park/Poplar Hill,vioXX,Housing and Community Development,,1.07,0.53,1.06,0.75,,0.05341880341880342,0.4413387274733358,0.3952569169960474,0.49916805324459235,0.528052805280528,
Greater Rosemont,vioXX,Housing and Community Development,,5.86,3.6900000000000004,2.76,2.65,,0.7913090128755365,5.07418027677347,4.193328795098707,3.748472090180633,5.573138846841888,
Greenmount East,vioXX,Housing and Community Development,,7.31,3.35,1.95,4.16,,4.275092936802974,14.148235691372616,9.709425939050318,4.200869145340415,15.512195121951219,
Hamilton,vioXX,Housing and Community Development,,3.2300000000000004,1.9299999999999997,1.53,1.1,,0.13590033975084936,1.6056910569105691,1.1807447774750226,1.5599908235833908,1.5567765567765568,
Harbor East/Little Italy,vioXX,Housing and Community Development,,,,,,,,,,,2.756892230576441,
Harford/Echodale,vioXX,Housing and Community Development,,3.08,1.55,1.21,0.77,,0.13458950201884254,1.2092130518234165,0.910378312765527,1.2782105052925903,1.4775413711583925,
Highlandtown,vioXX,Housing and Community Development,,3.45,1.13,1.1,1.32,,0.06379585326953748,1.8473895582329318,0.9045539613225203,2.5196850393700787,1.3594688586784698,
Howard Park/West Arlington,vioXX,Housing and Community Development,,9.17,3.26,3.4099999999999997,1.56,,0.4039776258545681,3.700414446417999,2.550207204335352,3.7958532695374805,2.5908372827804107,
Inner Harbor/Federal Hill,vioXX,Housing and Community Development,,3.44,2.01,1.01,1.2,,0.15021459227467812,0.7165472421263123,0.43410314290675467,0.9863945578231291,0.35629453681710216,
Jonestown/Oldtown,vioXX,Housing and Community Development,,7.51,1.5,2.17,2.23,,2.6917900403768504,2.2870662460567823,3.168831168831169,2.5494276795005204,,
Lauraville,vioXX,Housing and Community Development,,5.5,5.02,2.25,2.65,,0.4852227613586237,2.0097173144876326,1.3369589848175845,1.1138338159946537,1.25,
Loch Raven,vioXX,Housing and Community Development,,3.44,1.97,4.07,2.6,,0.16770483948251078,0.6602216458382457,1.0457820125493842,0.9926731269203497,1.3714826200047292,
Madison/East End,vioXX,Housing and Community Development,,8.3,3.6000000000000005,2.43,3.25,,0.7473411899971256,3.669028340080972,3.0349478847332927,3.67601246105919,3.7267080745341614,
Medfield/Hampden/Woodberry,vioXX,Housing and Community Development,,3.34,1.8399999999999999,3.05,1.8500000000000003,,0.26670617869313973,1.249305941143809,0.813729841692558,0.9340252038547072,1.3185185185185184,
Midtown*,vioXX,Housing and Community Development,,25.900000000000002,9.46,5.35,7.55,,0.9876543209876543,2.6376677464136975,6.0410916896657465,5.5098934550989345,5.245501677340653,
Midway/Coldstream,vioXX,Housing and Community Development,,13.34,5.13,4.78,5.15,,1.4571092831962398,7.803954564577198,5.897114178168131,4.40791041219919,6.968390804597702,
Morrell Park/Violetville,vioXX,Housing and Community Development,,2.18,1.78,1.39,1.18,,0.06097560975609756,2.1597633136094676,0.7013069811922219,4.332589996814272,2.527646129541864,
Mt. Washington/Coldspring,vioXX,Housing and Community Development,,0.73,0.29,0.15,0.15,,0.1480384900074019,0.3785830178474851,0.1707455890722823,0.05685048322910744,0.0547945205479452,
North Baltimore/Guilford/Homeland,vioXX,Housing and Community Development,,1.18,0.67,0.59,0.62,,0.2435723951285521,0.9900990099009901,0.6415094339622641,0.8026624902114331,0.9805844283192783,
Northwood,vioXX,Housing and Community Development,,5.29,8.1,1.83,1.08,,0.2546148949713558,1.4175526370648321,1.7196343056160208,0.983957219251337,0.9635974304068522,
Oldtown/Middle East,vioXX,Housing and Community Development,,,,,,,,,,,4.919184820801124,
Orangeville/East Highlandtown,vioXX,Housing and Community Development,,3.94,4.31,2.95,2.73,,0.11254924029262803,1.6209773539928487,1.3946587537091988,1.9281332164767746,1.1126961483594866,
Patterson Park North & East,vioXX,Housing and Community Development,,6.559999999999999,2.24,2.19,2.41,,0.5187048098082364,2.590975254730713,1.911953727506427,3.06856320920569,2.207505518763797,
Penn North/Reservoir Hill,vioXX,Housing and Community Development,,16.18,8.82,5.8,7.93,,4.128440366972478,6.095010457125785,7.057620184111831,7.310529845741113,8.098118279569892,
Perkins/Middle East,vioXX,Housing and Community Development,,6.709999999999999,1.36,1.17,3.2099999999999995,,1.179245283018868,4.1496850685439055,4.651162790697675,1.8032786885245904,,
Pimlico/Arlington/Hilltop,vioXX,Housing and Community Development,,8.56,2.76,2.48,2.84,,0.908867600098256,3.47732181425486,3.848088531187123,3.4207240948813986,4.321608040201005,
Poppleton/The Terraces/Hollins Market,vioXX,Housing and Community Development,,9.93,7.359999999999999,5.15,4.49,,2.0848310567936736,9.217171717171716,9.177679882525698,6.1946902654867255,7.168983174835406,
Sandtown-Winchester/Harlem Park,vioXX,Housing and Community Development,,8.82,3.5000000000000004,2.84,4.18,,2.094240837696335,8.113642180701305,6.8504594820384295,7.78816199376947,10.483870967741936,
South Baltimore,vioXX,Housing and Community Development,,3.06,1.3,0.69,0.72,,0.13266998341625208,0.588754783632617,0.4966403739409875,0.7149821254468639,0.24191109767160568,
Southeastern,vioXX,Housing and Community Development,,2.56,0.9000000000000001,3.17,2.62,,0.0,0.6704980842911877,0.9397457158651189,1.6592920353982303,0.7061379684953829,
Southern Park Heights,vioXX,Housing and Community Development,,9.32,4.39,2.74,3.74,,2.0964360587002098,5.099635740304264,7.213438735177865,6.315789473684211,8.347783007183553,
Southwest Baltimore,vioXX,Housing and Community Development,,11.93,5.93,4.26,3.7699999999999996,,0.810647307924985,6.268504338948443,3.454085930918281,4.657368101879928,7.885478587892758,
The Waverlies,vioXX,Housing and Community Development,,5.32,4.21,2.28,4.66,,1.1017260374586852,3.3365727243278265,2.6997041420118344,2.5993316004455997,3.9747399702823176,
Upton/Druid Heights*,vioXX,Housing and Community Development,,10.44,5.83,2.52,5.59,,4.037685060565275,5.829474257695451,9.821428571428571,10.923987255348203,11.335474988526848,
Washington Village,vioXX,Housing and Community Development,,8.21,5.16,4.32,4.05,,0.36310820624546114,5.369345916042955,1.6181229773462782,3.7427325581395348,2.688953488372093,
Westport/Mt. Winans/Lakeland,vioXX,Housing and Community Development,,3.27,3.1400000000000006,3.37,3.2300000000000004,,0.13831258644536654,4.008528784648187,1.455399061032864,3.707179727827311,3.4482758620689653,
Baltimore City,vioXX,Housing and Community Development,,6.509999999999999,3.4000000000000004,2.62,2.7,,0.8713878860603689,3.8783920650997104,2.867586266916148,3.128199679307614,3.7796949546387166,
Allendale/Irvington/S. Hilton,resrehabXX,Housing and Community Development,,0.5547602004294917,1.1274158911954186,0.45000000000000007,0.7713004484304933,1.01,0.9749303621169917,2.5985663082437274,1.7038245423237266,1.9220405963714746,1.293103448275862,
Beechfield/Ten Hills/West Hills,resrehabXX,Housing and Community Development,,0.7036059806508356,1.2316715542521994,0.76,0.7936507936507936,0.9000000000000001,1.023308698123934,1.5963855421686748,1.2759643916913948,2.2300469483568075,1.9398369412426204,
Belair-Edison,resrehabXX,Housing and Community Development,,0.3641545281823939,0.7124762507916403,0.51,0.5387418792584376,0.78,1.0911925175370227,1.8432465923172243,1.4332450537466896,1.095585900285805,1.3502779984114377,
Brooklyn/Curtis Bay/Hawkins Point,resrehabXX,Housing and Community Development,,0.44580009385265135,0.9157079126555531,0.55,1.1045828437132785,1.4,1.8048128342245988,2.8119092627599245,2.6881720430107525,1.3292910447761195,1.2607985057202895,
Canton,resrehabXX,Housing and Community Development,,6.076581576026637,8.488499452354874,7.690000000000001,6.999732834624632,9.35,7.90005047955578,7.49884633133364,4.651723306820921,5.327358725416978,3.9870421131323197,
Cedonia/Frankford,resrehabXX,Housing and Community Development,,0.5876747141041931,0.9858483065670217,0.4699999999999999,0.9388924252068745,1.18,1.1653200745804848,1.8950665622552858,1.3304116450148693,1.334604385128694,1.9065776930409915,
Cherry Hill,resrehabXX,Housing and Community Development,,0.6012024048096193,0.6018054162487462,0.2,0.2026342451874367,2.51,0.30120481927710846,0.8097165991902834,1.6210739614994936,0.4048582995951417,0.4048582995951417,
Chinquapin Park/Belvedere,resrehabXX,Housing and Community Development,,0.778642936596218,0.9651076466221231,0.61,1.1580127007844603,1.4000000000000001,1.4669051878354205,2.046783625730994,1.9266394961096702,1.4184397163120568,2.2642910170749815,
Claremont/Armistead,resrehabXX,Housing and Community Development,,0.7677543186180422,0.9596928982725527,1.08,11.6618075801749,13.16,4.9655172413793105,2.4709302325581395,1.7366136034732274,2.0114942528735633,1.5172413793103448,
Clifton-Berea,resrehabXX,Housing and Community Development,,0.20231745447857274,0.6812741668201068,0.6599999999999999,0.5720823798627002,1.05,1.7497988736926788,3.3949989835332386,3.7332800958275105,2.3842917251051894,1.714405185030316,
Cross-Country/Cheswolde,resrehabXX,Housing and Community Development,,1.5806111696522658,2.2847100175746924,3.74,2.5964912280701755,4.89,2.735457063711911,4.613874345549738,3.4998177178271965,2.3344947735191637,2.8140013726835966,
Dickeyville/Franklintown,resrehabXX,Housing and Community Development,,2.04778156996587,3.3783783783783785,1.46,2.4390243902439024,0.63,0.4132231404958678,3.8834951456310676,9.740259740259742,2.19435736677116,3.903903903903904,
Dorchester/Ashburton,resrehabXX,Housing and Community Development,,0.9216589861751152,1.8737388296339001,1.46,1.6440726853187193,1.7399999999999998,1.0749724366041897,2.9353655094552638,2.1086077411900637,2.3740590619571513,1.870798012277112,
Downtown/Seton Hill,resrehabXX,Housing and Community Development,,4.72972972972973,4.3478260869565215,3.27,4.3478260869565215,5.49,3.064066852367688,3.3802816901408446,1.954887218045113,1.1922503725782414,0.8955223880597015,
Edmondson Village,resrehabXX,Housing and Community Development,,0.8815232722143864,1.163200563976031,0.37,0.49313138429024306,0.57,0.7947019867549668,1.8409169850642584,1.0985238585650532,2.1104467112205416,2.075272599366866,
Fells Point,resrehabXX,Housing and Community Development,,5.051963048498846,7.734330074755606,7.049999999999999,6.6875355719977225,7.670000000000001,7.577639751552795,7.93770409444863,6.428930185836264,4.515173945225759,4.386397240019714,
Forest Park/Walbrook,resrehabXX,Housing and Community Development,,1.1351909184726523,1.82381280110117,1.8500000000000003,2.2375215146299485,2.13,2.716297786720322,4.570637119113574,3.30090340514246,2.2506925207756234,3.7460978147762747,
Glen-Falstaff,resrehabXX,Housing and Community Development,,0.6736728644570197,1.6159439806086722,1.6,1.2479652740097666,1.58,0.859983875302338,2.44299674267101,0.9605399792315681,1.5620791812550499,2.736385803305337,
Greater Charles Village/Barclay,resrehabXX,Housing and Community Development,,1.0477894198824431,1.5360983102918586,1.27,2.4239298607529656,3.4300000000000006,5.254332029066518,8.125164343938994,6.064040804760555,3.4864864864864864,2.693877551020408,
Greater Govans,resrehabXX,Housing and Community Development,,0.8447729672650475,0.9770266701874836,0.76,1.174272751534561,1.28,1.6944801026957637,3.4617386777719936,2.5470947200849032,1.7459038409884502,1.5053763440860215,
Greater Mondawmin,resrehabXX,Housing and Community Development,,0.5182839044054132,1.0941549093003167,0.69,0.9809578765147143,1.17,1.4553596417576267,3.2764317180616738,4.002287021154945,2.1245634458672877,1.3085199185809828,
Greater Roland Park/Poplar Hill,resrehabXX,Housing and Community Development,,1.9288327236448288,2.7777777777777777,4.53,3.1146454605699136,4.64,2.2044728434504792,5.295848316443283,3.985507246376811,3.3277870216306153,3.564356435643564,
Greater Rosemont,resrehabXX,Housing and Community Development,,0.7526881720430108,0.9826356171759322,0.72,0.7678836050114508,1.09,0.8686355739676601,2.6942864879501762,2.69571136827774,2.3088415048214044,2.0090821521948534,
Greenmount East,resrehabXX,Housing and Community Development,,0.3980724910957469,0.6948831332912192,0.56,0.7258753202391118,1.22,1.717819514429684,5.148926344954976,4.70115757146232,3.74215354901014,2.9268292682926833,
Hamilton,resrehabXX,Housing and Community Development,,0.45735193231191396,0.6861848124428179,0.7,1.1233379183860615,1.31,1.1165698972755693,2.1151330135194066,1.2942779291553135,1.6058729066299597,1.90018315018315,
Harbor East/Little Italy,resrehabXX,Housing and Community Development,,,,,,,,,,,1.4411027568922306,
Harford/Echodale,resrehabXX,Housing and Community Development,,0.5214600882470918,0.8833567556715519,0.7500000000000001,1.005631536604988,1.34,1.1307014181678805,1.6406890894175554,0.991300829455796,1.15837827042141,1.8912529550827424,
Highlandtown,resrehabXX,Housing and Community Development,,4.808317089018843,5.847953216374268,5.51,6.907682375726274,8.560000000000002,8.102073365231261,9.978375038616003,5.6144728633811605,5.637795275590552,4.362946569712299,
Howard Park/West Arlington,resrehabXX,Housing and Community Development,,1.0793650793650795,1.871233745639074,1.6200000000000003,2.3839796567069294,2.05,1.6232771822358345,3.8625204582651387,3.0602486452024227,1.8181818181818181,2.812006319115324,
Inner Harbor/Federal Hill,resrehabXX,Housing and Community Development,,4.706115965051628,5.470459518599562,6.219999999999999,4.430503822779848,5.9,4.867872044506258,8.078750848608282,4.375759680500087,4.710884353741497,3.902273498473023,
Jonestown/Oldtown,resrehabXX,Housing and Community Development,,1.3939838591342628,1.4781966001478197,1.96,2.8925619834710745,5.25,3.523382447149263,1.3911182450508293,2.12987012987013,1.8210197710718004,,
Lauraville,resrehabXX,Housing and Community Development,,0.9141583054626532,1.135857461024499,1.2,1.3826940231935771,1.97,1.9496166484118294,3.2575580032809937,1.790165420348969,2.0271775451102694,2.03125,
Loch Raven,resrehabXX,Housing and Community Development,,0.3307347035199622,0.5905976848570754,0.4,0.4727014890096904,1.22,0.6165520512212473,0.8264462809917356,0.6042296072507553,0.6381470101630821,1.4897138803499645,
Madison/East End,resrehabXX,Housing and Community Development,,0.20313406848520024,1.1366948411541824,0.6700000000000002,0.7974935915693534,2.3,2.960620868065536,7.336343115124154,6.866952789699571,3.707165109034268,3.6956521739130435,
Medfield/Hampden/Woodberry,resrehabXX,Housing and Community Development,,0.8642911296436694,1.1782708492731446,1.58,2.2523208035306648,3.2099999999999995,2.193107376815722,3.981509096331643,3.565616215416482,2.1645663454410675,2.3703703703703702,
Midtown*,resrehabXX,Housing and Community Development,,1.6411378555798686,2.616279069767442,4.01,3.5882566147154766,6.68,4.030313468825353,6.953028430160692,5.489113768782582,2.89193302891933,3.903629155230253,
Midway/Coldstream,resrehabXX,Housing and Community Development,,0.7259953161592506,0.9840674789128397,0.67,0.8198641368001873,1.19,1.6204790981681543,4.422788605697151,2.8607277289836888,2.239695020252561,2.03544061302682,
Morrell Park/Violetville,resrehabXX,Housing and Community Development,,0.6435006435006435,0.6435006435006435,0.64,0.6761107533805538,1.3300000000000003,1.3333333333333335,1.6877637130801686,1.2432260121134842,1.0512902198152279,1.1374407582938388,
Mt. Washington/Coldspring,resrehabXX,Housing and Community Development,,1.977401129943503,2.0361990950226243,3.0,2.2857142857142856,4.08,2.356164383561644,3.1055900621118013,3.130335799658509,2.274019329164298,3.0684931506849313,
North Baltimore/Guilford/Homeland,resrehabXX,Housing and Community Development,,1.9327406262079627,2.3593115451556756,3.05,2.3337222870478413,3.9699999999999998,2.377880184331797,3.9318225837691263,2.6792452830188678,2.9169929522317934,3.4908805648166306,
Northwood,resrehabXX,Housing and Community Development,,0.533731853116994,0.7266509938020945,0.48,0.9829059829059829,1.01,0.7377740303541315,1.2800359308331462,1.0883761427949499,1.1978609625668448,1.3918629550321198,
Oldtown/Middle East,resrehabXX,Housing and Community Development,,,,,,,,,,,4.919184820801124,
Orangeville/East Highlandtown,resrehabXX,Housing and Community Development,,0.5558806319485079,1.2295081967213115,0.9199999999999999,1.1768167107972933,2.24,1.6587011526567335,4.123422159887799,2.166172106824926,2.6000584282792873,1.4835948644793153,
Patterson Park North & East,resrehabXX,Housing and Community Development,,3.0596068484464176,4.794411811398635,0.269656855269178,5.962359639411672,7.95,10.0,12.402443162538175,6.989074550128535,5.22614671567844,4.872280037842952,
Penn North/Reservoir Hill,resrehabXX,Housing and Community Development,,1.5006821282401093,2.455661664392906,2.64,4.319052594914663,5.769999999999999,7.551020408163265,10.570236439499304,7.500852369587453,5.097250167672703,3.7970430107526885,
Perkins/Middle East,resrehabXX,Housing and Community Development,,0.9247027741083224,1.6444444444444446,0.98,1.655795283492223,3.2099999999999995,3.912363067292645,10.050675675675675,5.398671096345515,3.934426229508197,,
Pimlico/Arlington/Hilltop,resrehabXX,Housing and Community Development,,0.7183908045977011,1.125748502994012,0.97,1.2004801920768309,1.33,1.2218963831867058,2.5199600798403194,2.2384305835010063,2.4968789013732833,1.7085427135678393,
Poppleton/The Terraces/Hollins Market,resrehabXX,Housing and Community Development,,0.7361963190184049,0.6150061500615006,1.04,2.466091245376079,3.2099999999999995,3.53356890459364,8.426183844011142,7.782672540381791,3.5398230088495577,2.6335040234089244,
Sandtown-Winchester/Harlem Park,resrehabXX,Housing and Community Development,,0.6722951844903065,1.1669519215808308,1.41,3.1165527110828433,1.7500000000000002,1.9930244145490783,5.495449081229607,5.196324143692565,2.885718970323004,1.62936142198815,
South Baltimore,resrehabXX,Housing and Community Development,,4.538956397426733,7.946298984034833,5.31,7.372605710155403,10.890000000000002,8.753315649867375,10.907811400422238,7.6541045866199235,5.524861878453039,5.987299667372241,
Southeastern,resrehabXX,Housing and Community Development,,0.7295173961840629,1.1758118701007838,0.8500000000000001,1.122334455667789,0.96,0.815910249872514,2.479338842975207,0.8291873963515755,1.6592920353982303,2.009777294948398,
Southern Park Heights,resrehabXX,Housing and Community Development,,0.6297795771479981,1.1041009463722398,0.7800000000000001,1.0213345438039039,1.34,1.4794267221451687,3.9081582804103565,3.680830039525692,2.2276621787025706,2.229378251176616,
Southwest Baltimore,resrehabXX,Housing and Community Development,,0.7431874483897605,0.9087690310397735,0.86,1.1112424636481855,2.12,2.5783132530120483,5.842424242424243,5.560235888795282,2.619769557307459,1.6498847506975616,
The Waverlies,resrehabXX,Housing and Community Development,,0.8781558726673985,1.3548150860490664,0.98,2.0385470719051146,1.82,1.8640350877192982,3.979711275848615,2.6627218934911245,2.116598588934274,2.37741456166419,
Upton/Druid Heights*,resrehabXX,Housing and Community Development,,0.530705079605762,1.4971209213051824,1.11,1.035886052534221,3.4099999999999997,5.258583224684919,8.166969147005444,6.741071428571428,4.733727810650888,5.002294630564479,
Washington Village,resrehabXX,Housing and Community Development,,0.7333076032419915,1.8181818181818181,1.94,4.381161007667032,9.48,14.19753086419753,17.048346055979643,8.090614886731391,5.414244186046512,3.9607558139534884,
Westport/Mt. Winans/Lakeland,resrehabXX,Housing and Community Development,,0.4223369310183012,0.8911819887429643,0.32,0.5169172932330827,0.8699999999999999,1.0507080858839652,2.591894439208294,1.8309859154929577,1.8301267010793054,1.7707362534948743,
Baltimore City,resrehabXX,Housing and Community Development,,1.2016645851315706,1.8089326911010937,1.63,2.026481940398727,2.79,2.8089805789880096,4.644265344079355,3.3825043876825784,2.6210806947047116,2.5071070130769044,
Allendale/Irvington/S. Hilton,ownrocXX,Housing and Community Development,75.44267572884993,74.35576234788833,73.35361488904796,71.06535362578335,69.88340807174887,68.0675287356322,67.58409785932722,67.84946236559139,66.41290556461846,65.9241961559188,66.0,
Beechfield/Ten Hills/West Hills,ownrocXX,Housing and Community Development,85.2751756440281,84.75520375256524,84.89736070381232,84.30624816661778,84.18577307466197,83.05882352941177,84.05754550792719,82.07831325301204,84.3620178041543,84.0669014084507,82.7,
Belair-Edison,ownrocXX,Housing and Community Development,82.34548335974642,80.8581380620646,79.93983533882204,77.44896344358284,75.28125495167168,72.75031685678074,72.06721623335447,70.9727385377943,69.94859012307214,67.92632581771991,67.2,
Brooklyn/Curtis Bay/Hawkins Point,ownrocXX,Housing and Community Development,63.020102851799905,61.52041295166588,59.82625029349613,57.2938689217759,55.182138660399524,53.233011991535385,52.993870815653,50.51984877126654,51.729780271154745,50.74626865671642,50.4,
Canton,ownrocXX,Housing and Community Development,70.27707808564232,69.61709211986683,68.12705366922235,69.18306821245619,70.87897408495859,68.90227927691905,70.15680323722813,67.78957083525611,69.84815618221259,69.75354742345033,69.9,
Cedonia/Frankford,ownrocXX,Housing and Community Development,86.3932602130027,85.13341804320204,84.79885514390205,83.57710651828299,82.3520050922979,80.88188475007959,81.5262321144674,79.92169146436962,81.2020660510252,78.48744836352081,79.2,
Cherry Hill,ownrocXX,Housing and Community Development,61.96196196196196,61.32264529058116,60.28084252758275,61.0134436401241,58.662613981762924,57.446808510638306,57.446808510638306,56.983805668016196,55.116514690982775,53.94736842105263,54.7,
Chinquapin Park/Belvedere,ownrocXX,Housing and Community Development,78.85185185185185,78.71709306637004,78.87899034892354,74.93501670998886,74.71049682480388,73.91629297458894,74.30375046416636,73.79385964912281,75.36124490552056,73.34826427771557,74.0,
Claremont/Armistead,ownrocXX,Housing and Community Development,75.28735632183908,74.6641074856046,74.6641074856046,75.23992322456814,56.559766763848394,63.005780346820806,76.15606936416185,58.57558139534884,79.73950795947901,75.86206896551724,76.6,
Clifton-Berea,ownrocXX,Housing and Community Development,46.27249357326478,44.362700018392495,43.95139016755662,42.93628808864266,41.18993135011442,40.59655239202014,39.82404692082112,38.42244358609474,37.2729087642244,36.86635944700461,35.8,
Cross-Country/Cheswolde,ownrocXX,Housing and Community Development,86.72286617492097,86.7579908675799,86.57293497363796,86.63626797614872,86.87719298245614,85.27865404837014,85.92045054558254,84.19502617801047,87.969376594969,84.5993031358885,84.4,
Dickeyville/Franklintown,ownrocXX,Housing and Community Development,75.0853242320819,74.74402730375427,75.33783783783784,75.0,73.17073170731707,71.18055555555556,67.74193548387096,67.96116504854369,71.1038961038961,71.15987460815047,70.9,
Dorchester/Ashburton,ownrocXX,Housing and Community Development,80.57553956834532,79.55069124423963,78.52407033727299,78.28093452552639,77.41563311220075,75.42642382191384,75.74443480774791,74.99294383290996,75.12998266897746,74.63810075275043,73.6,
Downtown/Seton Hill,ownrocXX,Housing and Community Development,38.56655290102389,38.85135135135135,38.79598662207358,37.86407766990291,37.79264214046823,37.254901960784316,43.01675977653631,43.38028169014084,41.05263157894737,41.87779433681073,43.3,
Edmondson Village,ownrocXX,Housing and Community Development,78.2516743038421,77.82087447108603,77.22946774762073,75.64328516038069,73.96970764353645,72.73687918281085,72.10285311729481,72.07363667940257,71.91898386543083,71.473795286669,70.9,
Fells Point,ownrocXX,Housing and Community Development,53.198263386396526,53.290993071593526,52.50143760782059,51.52123995407577,52.13431986340353,46.64472018232464,50.149179512680256,51.720673197689024,51.70768458061276,51.936836910930175,53.2,
Forest Park/Walbrook,ownrocXX,Housing and Community Development,69.95531110347198,69.21224630202958,69.4769442532691,68.19119669876204,65.61101549053356,64.97759393312651,65.24896265560166,64.85457063711911,63.89854065323141,63.46952908587258,63.4,
Glen-Falstaff,ownrocXX,Housing and Community Development,82.4845055241175,82.29587712206953,81.38971182332347,81.5633423180593,81.2805208898535,79.39902544667028,80.77133479212254,77.0086862106406,78.81619937694704,77.80770266630756,78.5,
